연도,분기,분기별_연도,지역,전입자수,전출자수
2016,1,201601,경상북도,27354.0,29039.0
2016,1,201601,광주광역시,17078.0,16925.0
2016,1,201601,대구광역시,24526.0,25013.0
2016,1,201601,대전광역시,18658.0,19819.0
2016,1,201601,부산광역시,41272.0,42010.0
2016,1,201601,서울특별시,113095.0,119949.0
2016,1,201601,세종특별자치시,7097.0,2734.0
2016,1,201601,울산광역시,15058.0,15514.0
2016,1,201601,인천광역시,30828.0,30282.0
2016,1,201601,전국,595130.0,595130.0
2016,1,201601,전라남도,19642.0,21590.0
2016,1,201601,전북특별자치도,20207.0,21659.0
2016,1,201601,제주특별자치도,11926.0,11070.0
2016,1,201601,충청남도,24576.0,23967.0
2016,1,201601,충청북도,17449.0,17631.0
2016,2,201602,강원특별자치도,23257.0,24257.0
2016,2,201602,경기도,175465.0,165671.0
2016,2,201602,경상남도,43029.0,43715.0
2016,2,201602,경상북도,33835.0,33917.0
2016,2,201602,광주광역시,19697.0,20759.0
2016,2,201602,대구광역시,32349.0,34137.0
2016,2,201602,대전광역시,23139.0,23979.0
2016,2,201602,부산광역시,43080.0,43750.0
2016,2,201602,서울특별시,145256.0,153467.0
2016,2,201602,세종특별자치시,7625.0,3119.0
2016,2,201602,울산광역시,15687.0,16634.0
2016,2,201602,인천광역시,35544.0,35133.0
2016,2,201602,전국,709413.0,709413.0
2016,2,201602,전라남도,24258.0,25284.0
2016,2,201602,전북특별자치도,24447.0,25209.0
2016,2,201602,제주특별자치도,13677.0,11939.0
2016,2,201602,충청남도,29694.0,28601.0
2016,2,201602,충청북도,19374.0,19842.0
2016,3,201603,강원특별자치도,23483.0,23619.0
2016,3,201603,경기도,172219.0,162955.0
2016,3,201603,경상남도,39973.0,40216.0
2016,3,201603,경상북도,34906.0,34784.0
2016,3,201603,광주광역시,18673.0,19646.0
2016,3,201603,대구광역시,30695.0,31709.0
2016,3,201603,대전광역시,20578.0,21724.0
2016,3,201603,부산광역시,39742.0,41040.0
2016,3,201603,서울특별시,140880.0,149700.0
2016,3,201603,세종특별자치시,5963.0,2808.0
2016,3,201603,울산광역시,13638.0,14375.0
2016,3,201603,인천광역시,37293.0,37078.0
2016,3,201603,전국,686126.0,686126.0
2016,3,201603,전라남도,24802.0,25068.0
2016,3,201603,전북특별자치도,25641.0,26441.0
2016,3,201603,제주특별자치도,10544.0,8955.0
2016,3,201603,충청남도,27075.0,26291.0
